title,predicted_category
Brandsätze gegen Fassade geworfen - Gesuchter festgenommen,Raub
Jugendliche nach nächtlichem Überfall im Polizeigewahrsam,Diebstahl
Betrüger und Trickdiebe als falsche Versicherungsvertreter unterwegs - Tatverdächtiger ermittelt,Raub
Gefährliche Körperverletzung,Raub
Verkehrsunfall mit schwerverletztem E-Bike-Fahrer,Raub
Brandstiftung an Verwaltungsgebäude – Staatsschutz ermittelt,Raub
Auf einen Einsatzwagen aufgefahren und schwer verletzt,Verkehrsunfall
Nach Bedrohung mit Schusswaffe - Festnahme durch Spezialeinsatzkräfte des Landeskriminalamtes,Diebstahl
Polizei Berlin zieht Bilanz zur Versammlungslage am 30. Dezember 2020,Raub
Mit Messer verletzt – Täter flüchtig,Raub
Verdacht der Brandstiftung,Körperverletzung
Beim Überqueren der Fahrbahn vom Auto erfasst,Brandstiftung
Seniorin von Auto erfasst,Brandstiftung
Raub in Zeitungsladen scheitert,Sachbeschädigung
E-Scooter in Flammen,Sachbeschädigung
Einsatz wegen Körperverletzung führt zum Auffinden von Waffen und Pyrotechnik,Raub
Überfall auf Kiosk,Raub
Farbschmierereien an mehreren Hausfassaden,Raub
Einsatzlagen zum Jahreswechsel,Raub
Rucksack geraubt und festgenommen,Raub
Mann angegriffen und schwer verletzt,Verkehrsunfall
Pkw in Brand gesetzt,Sachbeschädigung
Disziplinarrechtliche Ermittlungen veranlasst,Raub
Nationalsozialistische Parole gerufen - Festnahme,Raub
Verbotene Kraftfahrzeugrennen ohne Führerscheine – Fahrzeuge beschlagnahmt,Raub
Tankstelle beraubt,Raub
Verdacht des illegalen Glücksspiels,Raub
Festnahmen nach Einbruch in ein Auto,Brandstiftung
In Schule eingebrochen und Feuer gelegt,Sachbeschädigung
Jugendlicher begeht mehrere Verkehrsstraftaten,Raub
Tankstelle überfallen,Raub
Seniorin überfallen,Raub
Verbotenes Kraftfahrzeugrennen führte zu Verkehrsunfall mit Verletzten,Raub
Brennende Fahrzeuge,Raub
Auf Gegenspur überholt und Unfall verursacht,Raub
Soft-Air Waffe löst SEK Einsatz aus,Raub
Radfahrer schwer verletzt,Verkehrsunfall
Mehrere Männer nach Schussabgaben schwer verletzt,Verkehrsunfall
Festnahme nach Farbschmierereien,Diebstahl
Mann nach Verkehrsunfall verstorben,Verkehrsunfall
Auto in Flammen,Brandstiftung
Rechtsextreme Straftaten in Neukölln - Vollstreckung von Haftbefehlen gegen mutmaßliche Hauptakteure,Raub
Gefährdung der öffentlichen Sicherheit und Ordnung - Durchführung einer Versammlung untersagt,Raub
In mehrere Fahrzeuge eingebrochen,Sachbeschädigung
Pkw in Brand gesetzt,Sachbeschädigung
Fußgängerin von Auto erfasst,Brandstiftung
Durchsuchung wegen des Verdachts eines bevorstehenden Sprengstoffanschlags,Raub
Paketbote überfallen,Raub
Gebäude des Bundeskriminalamtes beworfen,Raub
Fernseher aus dem Fenster geworfen,Raub
Straßenbenennungsschilder überklebt,Raub
Brandlegungen am Kurt-Schumacher-Haus – Tatverdächtiger identifiziert,Raub
Fahrübung ohne Führerschein,Raub
Fuchs erlöst,Raub
Auto unbefugt benutzt und Polizisten verletzt,Brandstiftung
Fahrzeug nach Kraftfahrzeugrennen beschlagnahmt,Diebstahl
Vor der Polizei geflüchtet und Unfall verursacht - Festnahme,Raub
Festnahme im Supermarkt,Diebstahl
Raub im Hausflur – Senior verletzt,Raub
Einbruch in Geschäft - Festnahme,Sachbeschädigung
Brandstiftung an Pkw,Raub
Lokal nach Veranstaltung geschlossen,Raub
Festnahmen nach Sachbeschädigungen,Diebstahl
Kontrolle verloren und gegen Leitplanke gefahren,Raub
Maske nicht getragen und aggressiv und beleidigend geworden,Raub
Ohne Führerschein und betrunken gegen Zaun gefahren,Raub
Verkehrsunfall mit Polizeimotorrad,Raub
Dienstkraft der Polizei Berlin stellt klar: Kein Platz für Rassismus,Raub
Festnahme nach Brandstiftung,Diebstahl
Überfall auf Geldboten - Täter flüchten mit einem Geldtransportkoffer,Raub
Drei auf einen Streich,Raub
Mann durch Stich verletzt,Raub
Überfall auf Spätkauf scheitert - Festnahme,Raub
Seniorin bei Verkehrsunfall schwer verletzt,Verkehrsunfall
Schwerverletzter nach Ausweichmanöver auf der Autobahn,Diebstahl
Kommunistische Parolen geschmiert und Automaten beschädigt,Raub
Versuch einen Pkw anzuzünden schlug offenbar fehl,Raub
Pkw überschlägt sich – Fahrerin schwer verletzt,Verkehrsunfall
Fußgänger durch Unfall schwer verletzt,Verkehrsunfall
Geschäft mit Reizgas überfallen,Raub
Sogenannter Enkeltrick teilweise vereitelt,Raub
Im Rahmen von Ermittlungen gegen die organisierte Kriminalität wurden 17 Durchsuchungsbeschlüsse vollstreckt – Mögliche Verbindungen zum Diebstahl der „Goldmünze“ aus dem Bode-Museum,Raub
Gedenktafel beschmiert,Raub
Mann tot in Wohnung gefunden - Mordkommission ermittelt,Sachbeschädigung
Zusammenstoß mit einem Fußgänger - Autofahrerin flüchtete,Raub
Auf die Straße geschubst und von Auto überrollt,Brandstiftung
"Schmierereien, Flucht, Festnahme",Raub
Verstärkte Alkohol- und Drogenkontrollen im Straßenverkehr zur Vorweihnachtszeit,Raub
Nach Angriff auf Senior – Tatverdächtiger ermittelt und festgenommen,Raub
Zwei Schwerverletzte in Nikolassee – jüngerer Mann verstorben,Sachbeschädigung
Zugang zur Wohnung verschafft – Drogen gefunden,Raub
Alkoholisiert Unfall verursacht,Raub
Unfall mit Einsatzwagen – Fahrzeugführer und Beifahrer festgenommen,Raub
Mutmaßliche Drogenhändler festgenommen,Raub
Der Kontrolle entzogen – Festnahme,Diebstahl
Vor Polizei geflüchtet – Fahrer ohne Führerschein unterwegs,Betrug
Mit Luftdruckpistole auf ein fahrendes Auto geschossen - Führerschein des Tatverdächtigen beschlagnahmt,Brandstiftung
Feuer an Pkw gelöscht,Raub
Festnahmen nach Raub,Diebstahl
Fahrzeuge in Brand gesetzt,Sachbeschädigung
Konzept zur Stärkung der Polizeipräsenz,Raub
Polizeikräfte mit einem Messer attackiert,Raub
Handel mit Betäubungsmitteln – Festnahme,Raub
Polizisten attackiert,Raub
Von der Fahrbahn abgekommen,Raub
Bei Streit zugestochen und mit Reizgas gesprüht,Raub
Frau identifiziert,Raub
Festnahme nach versuchtem Tötungsdelikt – Mordkommission ermittelt,Diebstahl
"Erst beleidigt, dann versöhnt",Raub
Mofa-Fahrer schwer verletzt,Verkehrsunfall
Festnahme nach Autodiebstahl,Diebstahl
Ermittlungen gegen die organisierte Kriminalität – drei Haftbefehle sowie 27 Durchsuchungsbeschlüsse vollstreckt,Raub
Taschendiebe festgenommen,Raub
Einbruch in Künstlerwerkstatt - Festnahme,Sachbeschädigung
Straßenbahn und Taxi stoßen zusammen,Raub
Anonymer Hinweis beendet Drogenverkauf,Raub
Verdacht der Prostitution – Pension geschlossen,Körperverletzung
Alkoholisiert und zu schnell – Festnahme,Raub
Senioren um ihre Ersparnisse betrogen - nach Ermittlungen gegen Betrugsbande zwei „falsche Polizisten“ in Untersuchungshaft,Sachbeschädigung
Widerstand nach Diebstahl,Diebstahl
Festnahme nach Lokaleinbruch,Diebstahl
Verdacht der versuchten schweren Brandstiftung,Raub
